"","kTotal","kWithin","kOut","kDiff"
"ENSXMAG00000004082",425.216892715391,44.3340094717074,380.882883243684,-336.548873771976
"ENSXMAG00000004192",370.704366407228,261.41350222747,109.290864179757,152.122638047713
"ENSXMAG00000004264",458.80208666889,277.384117490575,181.417969178314,95.966148312261
"ENSXMAG00000004324",379.640471675972,102.53698347318,277.103488202793,-174.566504729613
"ENSXMAG00000004376",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000004451",365.944510805961,210.514339793292,155.430171012669,55.0841687806231
"ENSXMAG00000004468",369.386941771597,201.843739733207,167.54320203839,34.3005376948173
"ENSXMAG00000004501",354.543373977119,131.748932585092,222.794441392026,-91.045508806934
"ENSXMAG00000004516",392.629539834569,93.6875105624451,298.942029272124,-205.254518709679
"ENSXMAG00000004539",392.652708312707,297.23448955914,95.4182187535678,201.816270805572
"ENSXMAG00000004565",381.467982683263,144.433293476112,237.034689207151,-92.601395731039
"ENSXMAG00000004609",391.701395817733,225.637107733634,166.064288084099,59.5728196495351
"ENSXMAG00000004619",377.465651890256,157.281283678038,220.184368212217,-62.9030845341792
"ENSXMAG00000004655",367.021389638328,222.474925013037,144.546464625291,77.9284603877454
"ENSXMAG00000004659",400.177660587308,261.548219410369,138.629441176939,122.91877823343
"ENSXMAG00000004662",422.176513088405,128.789159234127,293.387353854278,-164.598194620151
"ENSXMAG00000004787",404.735649778073,135.941783565881,268.793866212192,-132.852082646312
"ENSXMAG00000004821",359.200169423855,202.648661580523,156.551507843332,46.0971537371909
"ENSXMAG00000004841",488.642473709727,160.412136673183,328.230337036544,-167.818200363361
"ENSXMAG00000004853",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000004913",437.24626304123,70.2248029124155,367.021460128814,-296.796657216399
"ENSXMAG00000004927",486.418042615988,83.9816911151363,402.436351500851,-318.454660385715
"ENSXMAG00000004933",356.068666093429,123.384243780341,232.684422313088,-109.300178532747
"ENSXMAG00000004971",375.214014408042,183.514393504105,191.699620903937,-8.18522739983194
"ENSXMAG00000004992",410.61004113309,151.484377685605,259.125663447486,-107.641285761881
"ENSXMAG00000005023",390.198103098769,221.161766220444,169.036336878325,52.1254293421196
"ENSXMAG00000005172",363.345195890278,123.626432777055,239.718763113223,-116.092330336169
"ENSXMAG00000005197",376.756428392882,199.208121210709,177.548307182173,21.6598140285356
"ENSXMAG00000005198",413.833286598486,173.751659869021,240.081626729466,-66.329966860445
"ENSXMAG00000005204",374.149123980921,125.414392110727,248.734731870193,-123.320339759466
"ENSXMAG00000005242",399.613289089286,239.21890209385,160.394386995436,78.8245150984146
"ENSXMAG00000005244",355.567309049693,133.949380876184,221.617928173508,-87.6685472973243
"ENSXMAG00000005296",379.171098907524,254.234617538546,124.936481368978,129.298136169568
"ENSXMAG00000005344",391.298614055743,228.839963871738,162.458650184005,66.3813136877328
"ENSXMAG00000005428",360.59415644578,141.626245309651,218.967911136129,-77.3416658264781
"ENSXMAG00000005479",376.785750925787,266.189755074199,110.595995851588,155.593759222611
"ENSXMAG00000005505",431.153569438308,110.5537095781,320.599859860208,-210.046150282108
"ENSXMAG00000005572",368.847989424745,199.249285307908,169.598704116837,29.6505811910707
"ENSXMAG00000005633",366.481359663967,191.382209511522,175.099150152446,16.2830593590758
"ENSXMAG00000005641",408.022602373467,295.648497040463,112.374105333004,183.274391707459
"ENSXMAG00000005685",366.874295660238,194.115808900945,172.758486759292,21.3573221416531
"ENSXMAG00000005689",358.33165185016,124.54347313346,233.7881787167,-109.24470558324
"ENSXMAG00000005743",488.017392283919,85.9818749731405,402.035517310778,-316.053642337638
"ENSXMAG00000005755",482.362049516794,105.378459712908,376.983589803886,-271.605130090978
"ENSXMAG00000005773",434.723066501729,101.65427976993,333.068786731799,-231.414506961869
"ENSXMAG00000005778",402.931702237799,115.989441678736,286.942260559062,-170.952818880326
"ENSXMAG00000005824",442.339422112621,114.70847760776,327.630944504861,-212.922466897101
"ENSXMAG00000005847",360.034034439383,231.37527225681,128.658762182573,102.716510074237
"ENSXMAG00000005868",364.164253131941,117.84275477639,246.321498355551,-128.478743579161
"ENSXMAG00000005887",359.580105164308,20.7476311435504,338.832474020757,-318.084842877207
"ENSXMAG00000005898",385.141921886214,144.684959215796,240.456962670419,-95.7720034546229
"ENSXMAG00000005903",355.529320711521,124.372268333327,231.157052378194,-106.784784044867
"ENSXMAG00000005962",374.007050863648,240.02956541524,133.977485448408,106.052079966832
"ENSXMAG00000005966",354.651187980376,122.249797322677,232.401390657699,-110.151593335021
"ENSXMAG00000005967",357.310057242549,78.9872155703645,278.322841672185,-199.33562610182
"ENSXMAG00000005997",397.320271880556,124.263054352203,273.057217528353,-148.79416317615
"ENSXMAG00000006018",411.625001103131,109.017024796594,302.607976306536,-193.590951509942
"ENSXMAG00000006045",514.344123749461,112.959216989672,401.384906759789,-288.425689770118
"ENSXMAG00000006057",362.429524270703,127.554184053043,234.87534021766,-107.321156164617
"ENSXMAG00000006115",448.238953244082,171.878658130744,276.360295113337,-104.481636982593
"ENSXMAG00000006139",420.994805403313,253.43140447141,167.563400931903,85.868003539507
"ENSXMAG00000006169",422.036031538566,159.138419621565,262.897611917001,-103.759192295436
"ENSXMAG00000006237",356.363263544232,255.213242786103,101.150020758129,154.063222027974
"ENSXMAG00000006241",405.499090436786,262.845519704937,142.653570731849,120.191948973089
"ENSXMAG00000006246",357.241485921559,216.240561905207,141.000924016353,75.2396378888542
