target_id	length	eff_length	est_counts	tpm
g516.t1	1008	846.532	0	0
g519.t1	1062	900.532	184	10.7028
g520.t1	2766	2604.53	132	2.65474
g521.t1	1560	1398.53	7	0.262182
g524.t1	240	102.667	1	0.510206
g525.t1	1503	1341.53	0	0
g526.t1	7659	7497.53	21	0.146716
g527.t1	855	693.532	62	4.68277
g528.t1	1602	1440.53	129	4.69078
g529.t1	321	169.224	0	0
g530.t1	1638	1476.53	2	0.0709521
g531.t1	1656	1494.53	1569.97	55.0254
g532.t1	1269	1107.53	0	0
g533.t1	4362	4200.53	92	1.14726
g535.t1	936	774.532	245	16.5693
g536.t1	1230	1068.53	17	0.833373
g537.t1	756	594.592	167	14.7121
g538.t1	897	735.532	2	0.142432
g539.t1	903	741.532	11	0.777035
g540.t1	1962	1800.53	1246	36.2489
g541.t1	909	747.532	0	0
g542.t1	687	525.649	47	4.68361
g543.t1	339	185.572	0	0
g544.t1	3681	3519.53	47	0.699505
g545.t1	2019	1857.53	10	0.281995
g546.t1	5433	5271.53	57	0.566391
g547.t1	1938	1776.53	567	16.7181
g548.t1	330	177.417	0	0
g549.t1	1911	1749.53	7	0.209582
g550.t1	4092	3930.53	48	0.639688
g551.t1	978	816.532	506	32.4605
g552.t1	3825	3663.53	0	0
g553.t1	1467	1305.53	1	0.0401227
g554.t1	996	834.532	96	6.02568
g555.t1	1359	1197.53	137	5.99255
g556.t1	2079	1917.53	12	0.327806
g557.t1	2520	2358.53	36	0.799537
g558.t1	1980	1818.53	12	0.345651
g559.t1	1404	1242.53	3	0.126471
g560.t1	1809	1647.53	179	5.69111
g561.t1	732	570.592	25	2.29505
g562.t1	1299	1137.53	0	0
g563.t1	606	444.698	0	0
g564.t1	2109	1947.53	36	0.968269
g565.t1	1149	987.532	1	0.0530428
g566.t1	414	255.819	5	1.0238
g567.t1	5490	5328.53	575	5.65247
g568.t1	1452	1290.53	0	0
g569.t1	750	588.592	4	0.355978
g571.t1	1275	1113.53	114	5.36266
g577.t1	360	204.85	1	0.255707
g578.t1	3507	3345.53	2	0.0313143
g579.t1	1416	1254.53	80	3.34031
g582.t1	1275	1113.53	2	0.0940817
g583.t1	3006	2844.53	5	0.092074
g584.t1	609	447.698	33	3.86106
g585.t1	3558	3396.53	12	0.185065
g587.t1	747	585.592	4	0.357802
g588.t1	1638	1476.53	0	0
g589.t1	864	702.532	2	0.149122
g590.t1	1260	1098.53	24	1.1444
g591.t1	3897	3735.53	0	0
g592.t1	8547	8385.53	37	0.231126
g593.t1	687	525.649	78	7.77279
g594.t1	1917	1755.53	14	0.417732
g595.t1	1224	1062.53	8	0.39439
g596.t1	7047	6885.53	3	0.0228224
g597.t1	1407	1245.53	0	0
g598.t1	9462	9300.53	7	0.0394247
g599.t1	3384	3222.53	0	0
g600.t1	1419	1257.53	153	6.37309
g601.t1	2694	2532.53	15	0.310252
g602.t1	1347	1185.53	237	10.4716
g604.t1	3279	3117.53	0	0
g605.t1	3471	3309.53	177	2.80146
g606.t1	2196	2034.53	771	19.8503
g607.t1	855	693.532	3288	248.338
g608.t1	492	331.723	1	0.157907
g609.t1	684	522.649	128	12.8286
g610.t1	2775	2613.53	110	2.20467
g611.t1	1239	1077.53	247	12.0073
g612.t1	2802	2640.53	2	0.039675
g613.t1	6321	6159.53	1	0.00850414
g614.t1	2565	2403.53	0	0
g615.t1	1101	939.532	652	36.3508
g616.t1	621	459.698	65.8995	7.5091
g617.t1	4779	4617.53	2	0.0226881
g618.t1	2943	2781.53	2	0.0376638
g619.t1	528	367.203	336	47.9304
g620.t1	465	305.262	112	19.2187
g621.t1	567	405.78	0	0
g622.t1	3003	2841.53	93	1.71439
g623.t1	2652	2490.53	0	0
g624.t1	2349	2187.53	0	0
g625.t1	2415	2253.53	0	0
g626.t1	2385	2223.53	0	0
g627.t1	9075	8913.53	4	0.0235065
g628.t1	6363	6201.53	2	0.0168931
g629.t1	3360	3198.53	7	0.114637
g630.t1	2124	1962.53	196	5.23139
g631.t1	1917	1755.53	0	0
g633.t1	513	352.311	3	0.446039
g634.t1	2262	2100.53	268	6.68318
g635.t1	846	684.532	37	2.8313
g636.t1	1224	1062.53	0	0
g637.t1	1881	1719.53	0	0
g638.t1	1392	1230.53	15	0.638523
g640.t1	414	255.819	0	0
g641.t1	3090	2928.53	52	0.930104
g642.t1	606	444.698	0	0
g643.t1	2448	2286.53	16	0.366539
g644.t1	1608	1446.53	282	10.2117
g645.t1	2415	2253.53	5	0.116221
g646.t1	882	720.532	30	2.18095
g647.t1	555	393.86	28	3.72387
g648.t1	1677	1515.53	2	0.0691262
g649.t1	1071	909.532	0	0
g650.t1	543	382.054	234	32.0825
g651.t1	1890	1728.53	1	0.030304
g652.t1	807	645.532	0	0
g653.t1	672	510.649	13	1.33352
g654.t1	708	546.649	11	1.05405
g655.t1	5430	5268.53	48	0.477232
g656.t1	1500	1338.53	112	4.38296
g657.t1	3816	3654.53	4	0.0573332
g659.t1	1287	1125.53	293	13.636
g660.t1	1464	1302.53	46	1.8499
g661.t1	1461	1299.53	0	0
g662.t1	2364	2202.53	9	0.214042
g663.t1	1179	1017.53	55	2.83134
g664.t1	1140	978.532	0	0
g665.t1	546	385.016	67	9.11536
g666.t1	1815	1653.53	28	0.887
g668.t1	1218	1056.53	7	0.347051
g670.t1	477	316.918	6	0.991704
g674.t1	1332	1170.53	40	1.79001
