target_id	length	eff_length	est_counts	tpm
g3851.t1	1806	1597.54	461	26.1504
g3852.t1	693	485.228	0	0
g3853.t1	999	790.535	1	0.114632
g3854.t1	348	158.523	25	14.2914
g3855.t1	1125	916.535	315	31.1451
g3856.t1	1380	1171.54	250	19.3381
g3859.t1	1023	814.535	75	8.3441
g3860.t1	4704	4495.54	203	4.09207
g3863.t1	3030	2821.54	32	1.02776
g3865.t1	375	181.066	50	25.0242
g3866.t1	1290	1081.54	9	0.754102
g3868.t1	810	601.798	3145	473.585
g3870.t1	1926	1717.54	455	24.0068
g3871.t1	1671	1462.54	175	10.8433
g3875.t1	1014	805.535	80	8.99981
g3882.t1	3627	3418.54	1235	32.7382
g3883.t1	1827	1618.54	11	0.615884
g3885.t1	408	210.017	10	4.31493
g3886.t1	1044	835.535	26	2.81992
g3887.t1	2256	2047.54	234	10.3565
g3891.t1	618	410.893	23	5.07255
g3894.t1	1398	1189.54	34	2.59018
g3895.t1	1119	910.535	58	5.77244
g3896.t1	1425	1216.54	89	6.62969
g3897.t1	1227	1018.54	105	9.34203
g3898.t1	1212	1003.54	139	12.5519
g3899.t1	1248	1039.54	176	15.3427
g3901.t1	954	745.535	0	0
g3902.t1	1044	835.535	484	52.4939
g3906.t1	285	108.497	2	1.67048
g3907.t1	795	586.858	111	17.1403
g3908.t1	1488	1279.54	184.964	13.0997
g3909.t1	528	322.917	89	24.9762
g3910.t1	1299	1090.54	58.0363	4.82268
g3911.t1	543	337.517	11.8611	3.18462
g3912.t1	1791	1582.54	138.139	7.91026
g3913.t1	864	655.734	1	0.138198
g3914.t1	594	387.208	0	0
g3915.t1	651	443.595	3	0.612861
g3916.t1	1401	1192.54	13	0.987871
g3917.t1	1572	1363.54	0	0
g3918.t1	1449	1240.54	10	0.730498
g3919.t1	450	248.633	5	1.82238
g3921.t1	3477	3268.54	260	7.20856
g3922.t1	573	366.774	0	0
g3923.t1	1029	820.535	24	2.65059
g3924.t1	1581	1372.54	68	4.48966
g3925.t1	2661	2452.54	72.2477	2.66954
g3926.t1	657	449.551	39.7523	8.01331
g3927.t1	612	404.893	9	2.01433
g3933.t1	408	210.017	0	0
g3934.t1	414	215.402	13	5.46917
g3935.t1	2022	1813.54	2.4473	0.12229
g3938.t1	1281	1072.54	35	2.95723
g3940.t1	981	772.535	257	30.1469
g3942.t1	990	781.535	358	41.5109
g3946.t1	321	136.252	8066	5364.67
g3947.t1	501	297.108	0	0
g3951.t1	441	240.258	23	8.67517
g3955.t1	1671	1462.54	34	2.10669
g3956.t1	1905	1696.54	116	6.19617
g3957.t1	2370	2161.54	1300	54.5016
g3959.t1	759	550.97	782	128.619
g3960.t1	402	204.597	832.599	368.778
g3961.t1	420	221.087	11	4.50877
g3962.t1	924	715.535	2477	313.706
g3963.t1	3384	3175.54	70	1.9976
g3964.t1	3729	3520.54	717	18.456
g3966.t1	495	291.316	18	5.59934
g3969.t1	5025	4816.54	431	8.10906
g3971.t1	495	291.316	1	0.311074
g3972.t1	2466	2257.54	2	0.080283
g3973.t1	519	314.431	3	0.864617
g3975.t1	1041	832.535	6	0.653096
g3977.t1	4323	4114.54	283	6.23295
g3978.t1	3579	3370.54	767	20.6217
g3980.t1	888	679.535	41.3823	5.51862
g3981.t1	1206	997.535	107	9.72039
g3984.t1	330	143.725	20	12.6103
g3985.t1	333	146.038	2	1.24106
g3986.t1	417	218.268	15	6.22772
g3987.t1	3045	2836.54	1601.71	51.1709
g3989.t1	1659	1450.54	337	21.0538
g3990.t1	408	210.017	18	7.76687
g3991.t1	1071	862.535	301	31.6241
g3992.t1	1938	1729.54	58	3.03897
g3993.t1	1845	1636.54	132	7.30931
g3994.t1	2214	2005.54	28	1.26519
g3997.t1	840	631.798	6	0.860599
g3998.t1	951	742.535	119	14.5231
